"reviewer$gpa","reviewer$academic_major","reviewer$age_range","reviewer$location","reviewer$gender","reviewer$signin_count","reviewer$user_id","review$avg_score","review$score1","review$score2","review$score3","review$score4","review$score5","reviewee$team_id","reviewee$team_size"
"Does not apply","Business","36-40","Spain","Male",120,22862,2.2,5,2,2,1,1,5069,4
"Do not want to disclose","Engineering","26-30","India","Male",230,8550,4.8,7,5,5,4,3,5836,4
"3.5-4.00","Engineering","26-30","United States","Male",33,19544,3.4,6,4,3,3,1,5069,4
"Does not apply","Science","26-30","Netherlands","Male",124,2230,6.6,9,9,5,5,5,5906,9
"3-3.49","Other","21-25","Spain","Female",75,2826,6.4,5,5,10,4,8,5470,17
"3.5-4.00","Science","36-40","Greece","Male",125,27386,1,1,1,1,1,1,5470,17
"Does not apply","Business","21-25","Brazil","Male",43,29913,7,9,9,3,7,7,5693,7
"Does not apply","Business","18-20","Canada","Male",28,26219,3.4,4,4,3,4,2,5069,4
"3.5-4.00","Engineering","41-45","United States","Male",35,23915,6,9,9,6,3,3,5693,7
"NULL","NULL","NULL","United States","NULL",391,34624,7.8,8,8,8,7,8,5215,4
"3-3.49","Science","21-25","Saudi Arabia","Female",46,12292,5.4,9,3,9,3,3,5420,3
"Does not apply","Business","18-20","Canada","Male",28,26219,3.4,5,3,4,3,2,5836,4
"NULL","NULL","NULL","United States","NULL",391,34624,7.8,7,8,9,8,7,5250,3
"3.5-4.00","Engineering","41-45","United States","Male",35,23915,7.6,9,8,7,7,7,5144,2
"Does not apply","Engineering","26-30","Japan","Male",30,1342,7,8,9,7,10,1,5836,4
"NULL","NULL","NULL","United States","NULL",391,34624,7.2,7,7,6,9,7,5424,1
"Does not apply","Business","over 50","Australia","Male",55,9014,2.2,1,6,1,2,1,5215,4
"NULL","NULL","NULL","United States","NULL",391,34624,5.2,7,3,6,5,5,5420,3
"Does not apply","Business","over 50","Australia","Male",55,9014,4,2,7,2,7,2,5836,4
"Does not apply","Business","over 50","Australia","Male",55,9014,8.8,9,9,9,7,10,5470,17
"Does not apply","Engineering","26-30","Brazil","Male",152,12759,6.8,8,8,8,8,2,5215,4
"NULL","NULL","NULL","United States","NULL",28,36188,5.8,7,7,6,6,3,5069,4
"Does not apply","Engineering","26-30","Brazil","Male",152,12759,8.8,10,10,9,9,6,5906,9
"NULL","NULL","NULL","United States","NULL",28,36188,6,8,7,7,4,4,5693,7
"NULL","NULL","NULL","United States","NULL",28,36188,4.2,5,5,5,3,3,5215,4
"Does not apply","Engineering","26-30","Brazil","Male",152,12759,3.8,5,4,4,5,1,5250,3
"NULL","NULL","NULL","United States","NULL",28,36188,5.8,6,6,6,5,6,5627,5
"Does not apply","Other","26-30","United States","Male",213,9811,8,8,8,8,8,8,5693,7
"NULL","NULL","NULL","United States","NULL",391,34624,6.6,7,7,6,7,6,5144,2
"Does not apply","Engineering","41-45","Italy","Male",74,15131,8,9,7,9,9,6,5906,9
"3.5-4.00","Engineering","Do not want to disclose","United States","Male",57,14192,5.6,8,6,5,7,2,5693,7
"3.5-4.00","Business","36-40","Italy","Male",588,3417,5.2,6,7,5,4,4,5250,3
"3-3.49","Engineering","21-25","Trinidad and Tobago","Male",77,11494,2.8,5,2,3,2,2,5069,4
"Does not apply","Business","41-45","Malaysia","Male",502,4812,3.8,4,6,4,3,2,5250,3
"Does not apply","Engineering","31-35","United States","Male",364,9491,3.6,4,4,4,4,2,5906,9
"Does not apply","Humanities","18-20","New Zealand","Male",94,9061,7.2,10,8,7,9,2,5906,9
"2.5-3","Business","over 50","United States","Male",61,5849,1,1,1,1,1,1,5215,4
"2.5-3","Business","46-50","Norway","Male",62,22029,2.2,3,2,2,2,2,5069,4
"Does not apply","Engineering","26-30","Chile","Male",53,9138,6.2,5,7,5,6,8,5250,3
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,5.4,4,6,7,6,4,5250,3
"Does not apply","Engineering","26-30","Brazil","Male",152,12759,6.8,8,8,8,8,2,5190,6
"Does not apply","Engineering","26-30","Brazil","Male",152,12759,6.6,8,6,7,6,6,5627,5
"Does not apply","Engineering","26-30","Brazil","Male",152,12759,4.6,5,4,5,4,5,5424,1
"NULL","NULL","NULL","United States","NULL",28,36188,6.6,7,7,6,6,7,5144,2
"Does not apply","Engineering","26-30","Brazil","Male",152,12759,1.8,2,2,2,2,1,5004,5
"Does not apply","Engineering","26-30","Brazil","Male",152,12759,1.8,2,2,2,2,1,5993,2
"NULL","NULL","NULL","United States","NULL",28,36188,4.8,8,4,5,4,3,5288,2
"Does not apply","Engineering","26-30","Brazil","Male",152,12759,5,6,6,5,6,2,5420,3
"Does not apply","Engineering","26-30","Brazil","Male",152,12759,7,8,8,9,8,2,5536,4
"3-3.49","Science","18-20","Philippines","Male",112,19750,5.4,5,7,6,5,4,5215,4
"3-3.49","Science","18-20","Philippines","Male",112,19750,6.8,7,5,8,6,8,5470,17
"2.5-3","Engineering","over 50","United States","Male",21,31244,5.6,7,8,6,4,3,5836,4
"3.5-4.00","Engineering","21-25","China","Male",19,22172,6.4,5,7,5,6,9,5906,9
"3.5-4.00","Engineering","21-25","Russian Federation","Male",62,15851,2.6,2,4,4,2,1,5069,4
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,6.4,9,5,9,8,1,5693,7
"3.5-4.00","Science","36-40","United Arab Emirates","Male",27,31981,6,9,8,6,6,1,5906,9
"Does not apply","Engineering","36-40","Russian Federation","Male",25,7607,6.4,8,7,4,9,4,5906,9
"3.5-4.00","Science","36-40","United Arab Emirates","Male",27,31981,5,7,7,5,5,1,5836,4
"Does not apply","Engineering","46-50","Iran, Islamic Republic of","Male",174,2481,4.6,5,5,4,4,5,5906,9
"Does not apply","Engineering","36-40","Russian Federation","Male",25,7607,6.4,9,4,8,3,8,5470,17
"Does not apply","Engineering","46-50","Iran, Islamic Republic of","Male",174,2481,6,6,6,7,6,5,5836,4
"Does not apply","Engineering","46-50","Iran, Islamic Republic of","Male",174,2481,5.2,6,5,6,5,4,5250,3
"Does not apply","Business","41-45","United Kingdom","Male",438,17928,3,4,2,4,3,2,5470,17
"Does not apply","Science","over 50","Australia","Male",238,1006,5,7,6,5,6,1,5250,3
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,7.6,6,9,9,6,8,5250,3
"3.5-4.00","Engineering","31-35","India","Male",107,16777,4,4,4,4,2,6,5069,4
"3.5-4.00","Business","31-35","India","Male",58,8018,1,1,1,1,1,1,5906,9
"NULL","NULL","NULL","United States","NULL",28,36188,5.6,7,7,6,5,3,5213,8
"3.5-4.00","Engineering","21-25","Russian Federation","Male",62,15851,5.2,7,7,4,4,4,5836,4
"2.5-3","Business","41-45","United Kingdom","Female",463,11835,8.2,8,7,8,9,9,5250,3
"Do not want to disclose","Engineering","46-50","India","Female",101,24314,5.4,5,7,5,5,5,5069,4
"3-3.49","Business","21-25","Ukraine","Male",29,2659,6.4,9,7,8,7,1,5693,7
"Does not apply","Business","26-30","Spain","Male",176,5634,3,5,2,3,3,2,5069,4
"Does not apply","Engineering","46-50","Iran, Islamic Republic of","Male",174,2481,5.2,6,5,6,5,4,5144,2
"Does not apply","Engineering","46-50","Iran, Islamic Republic of","Male",174,2481,4.8,5,6,4,5,4,5190,6
"Does not apply","Business","31-35","Slovakia","Male",141,11269,3,5,2,2,4,2,5069,4
"Does not apply","Engineering","36-40","Spain","Male",62,3521,5.2,6,8,6,5,1,5250,3
"Does not apply","Engineering","26-30","Spain","Male",53,3963,5.2,9,3,5,6,3,5906,9
"Does not apply","Engineering","26-30","Spain","Male",53,3963,2.8,4,2,3,3,2,5693,7
"Does not apply","Engineering","26-30","Spain","Male",53,3963,3.4,2,5,4,4,2,5250,3
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,2.4,2,4,2,2,2,5215,4
"3.5-4.00","Engineering","31-35","India","Male",107,16777,4.4,6,4,5,5,2,5836,4
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,3.4,2,1,3,6,5,5114,5
"NULL","NULL","NULL","NULL","NULL",17,37234,5.4,6,5,6,5,5,5250,3
"NULL","NULL","NULL","NULL","NULL",17,37234,4.8,5,5,5,5,4,5906,9
"3.5-4.00","Engineering","26-30","United States","Male",193,20079,5.4,6,5,6,6,4,5836,4
"NULL","NULL","NULL","NULL","NULL",17,37234,4.8,4,5,5,5,5,5069,4
"NULL","NULL","NULL","NULL","NULL",17,37234,4.6,5,5,5,4,4,5479,17
"NULL","NULL","NULL","NULL","NULL",17,37234,4.6,5,4,5,5,4,5190,6
"NULL","NULL","NULL","NULL","NULL",17,37234,4.2,5,5,5,5,1,5114,5
"3.5-4.00","Engineering","26-30","United States","Male",193,20079,5.6,6,6,5,6,5,5906,9
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,9,9,9,9,9,9,5144,2
"3.5-4.00","Business","31-35","Greece","Male",69,6020,7.6,8,10,6,7,7,5470,17
"3-3.49","Science","26-30","Latvia","Male",435,4599,6.4,7,7,7,10,1,5906,9
"Does not apply","Business","41-45","United Kingdom","Male",438,17928,8.2,9,10,9,7,6,5250,3
"3.5-4.00","Business","36-40","Italy","Male",588,3417,4.2,6,6,4,3,2,5693,7
"Does not apply","Engineering","41-45","Italy","Male",74,15131,3.2,4,3,3,4,2,5836,4
"Does not apply","Other","31-35","France","Male",81,501,5,5,4,4,6,6,5470,17
"Does not apply","Engineering","31-35","Spain","Male",133,3339,1.8,2,2,2,2,1,5215,4
"Does not apply","Engineering","36-40","Italy","Male",82,21546,3.8,7,3,4,3,2,5836,4
"Does not apply","Business","31-35","Slovakia","Male",141,11269,8,9,8,9,9,5,5906,9
"Does not apply","Engineering","26-30","Spain","Male",53,3963,2.4,2,3,1,3,3,5114,5
"Does not apply","Science","over 50","Australia","Male",238,1006,3.2,3,6,3,3,1,5215,4
"3.5-4.00","Engineering","31-35","India","Male",107,16777,1,1,1,1,1,1,5470,17
"3.5-4.00","Engineering","Do not want to disclose","United States","Male",57,14192,3.4,3,4,5,4,1,5069,4
"Does not apply","Business","31-35","Spain","Male",42,19404,4,6,6,6,1,1,5215,4
"NULL","NULL","NULL","NULL","NULL",17,37234,5.4,6,5,6,5,5,5144,2
"NULL","NULL","NULL","NULL","NULL",17,37234,4.8,5,5,4,5,5,5764,1
"3.5-4.00","Engineering","26-30","United States","Male",193,20079,5,5,5,6,5,4,5215,4
"NULL","NULL","NULL","NULL","NULL",17,37234,8.8,9,9,9,9,8,5475,5
"3.5-4.00","Business","31-35","Greece","Male",69,6020,4.2,4,5,5,5,2,5069,4
"3.5-4.00","Business","31-35","Greece","Male",69,6020,7.6,8,9,10,9,2,5693,7
"2.5-3","Engineering","26-30","Turkey","Male",180,12093,5.4,5,4,5,6,7,5836,4
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,4.4,5,5,5,6,1,5627,5
"Does not apply","Engineering","31-35","France","Male",87,21748,6.8,8,8,5,10,3,5906,9
"2.5-3","Engineering","26-30","Turkey","Male",180,12093,3.4,3,7,3,2,2,5069,4
"2.5-3","Engineering","26-30","Turkey","Male",180,12093,6,7,7,7,4,5,5693,7
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,4.4,4,7,5,5,1,5475,5
"2.5-3","Engineering","26-30","Turkey","Male",180,12093,4.4,3,4,6,7,2,5479,17
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,1,1,1,1,1,1,5374,9
"3-3.49","Science","26-30","United Kingdom","Male",24,16677,4.8,4,6,7,5,2,5250,3
"3-3.49","Engineering","18-20","India","Male",112,7522,6.4,6,7,7,6,6,5069,4
"3-3.49","Science","26-30","United Kingdom","Male",24,16677,2.6,2,3,3,3,2,5906,9
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,7.4,5,8,8,8,8,5539,2
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,5.6,7,8,8,4,1,5150,4
"3-3.49","Engineering","21-25","Trinidad and Tobago","Male",77,11494,6.6,7,5,5,7,9,5470,17
"2.5-3","Engineering","over 50","United States","Male",21,31244,4.8,8,4,5,4,3,5470,17
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,8,9,4,9,9,9,5170,2
"2.5-3","Engineering","26-30","Turkey","Male",180,12093,5.8,8,6,6,3,6,5190,6
"Do not want to disclose","Humanities","36-40","Spain","Female",40,21921,10,10,10,10,10,10,5906,9
"Does not apply","Business","41-45","United Kingdom","Male",438,17928,3.6,3,4,4,4,3,5069,4
"3.5-4.00","Business","31-35","India","Male",58,8018,1,1,1,1,1,1,5250,3
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,4,4,5,5,5,1,5601,1
"3-3.49","Science","26-30","Latvia","Male",435,4599,3,3,3,4,4,1,5470,17
"3-3.49","Engineering","46-50","Iran, Islamic Republic of","Female",420,19447,4.8,6,7,5,5,1,5215,4
"Does not apply","Law","26-30","United Kingdom","Female",27,19203,6.6,5,7,6,8,7,5836,4
"Does not apply","Science","26-30","Russian Federation","Female",48,11977,5.6,5,4,7,4,8,5069,4
"Does not apply","Other","36-40","United Kingdom","Male",115,13070,3.2,3,3,4,3,3,5215,4
"Does not apply","Engineering","31-35","France","Male",87,21748,6.8,6,4,8,8,8,5470,17
"2.5-3","Engineering","26-30","Turkey","Male",180,12093,3,4,4,3,2,2,5114,5
"Does not apply","Business","41-45","United Kingdom","Male",438,17928,6.6,6,7,8,5,7,5479,17
"Does not apply","Business","41-45","United Kingdom","Male",438,17928,2.2,2,2,3,3,1,5374,9
"Does not apply","Business","21-25","Germany","Male",83,14340,5.4,6,4,10,6,1,5906,9
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,1.6,1,2,2,2,1,7054,0
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,8.2,9,8,8,8,8,5190,6
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,7.4,7,8,8,7,7,5204,6
"Do not want to disclose","Engineering","21-25","Ukraine","Male",47,30182,5.4,2,5,5,5,10,5836,4
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,9,9,9,9,9,9,5536,4
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,4,4,7,4,4,1,5752,6
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,1.4,1,1,1,3,1,5118,4
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,6,8,8,8,5,1,5562,2
"Does not apply","Other","31-35","France","Male",81,501,4.6,6,4,6,6,1,5836,4
"Does not apply","Other","31-35","France","Male",81,501,6,10,6,4,6,4,5906,9
"Does not apply","Other","31-35","France","Male",81,501,4.2,5,4,4,3,5,5479,17
"Does not apply","Other","31-35","France","Male",81,501,1,1,1,1,1,1,5374,9
"3.5-4.00","Business","36-40","Italy","Male",588,3417,4.8,7,5,4,4,4,5226,1
"Does not apply","Other","31-35","France","Male",81,501,4.8,7,5,3,3,6,5539,2
"NULL","NULL","NULL","United States","NULL",28,36188,8.6,9,9,9,8,8,5226,1
"NULL","NULL","NULL","United States","NULL",28,36188,4.2,6,5,4,4,2,5536,4
"3.5-4.00","Science","over 50","Italy","Male",95,30064,5.6,5,7,7,7,2,5215,4
"NULL","NULL","NULL","United States","NULL",28,36188,7.6,8,8,8,7,7,5479,17
"NULL","NULL","NULL","United States","NULL",28,36188,1.8,2,2,2,2,1,5374,9
"3.5-4.00","Science","36-40","Greece","Male",125,27386,6.2,8,6,6,6,5,5693,7
"Does not apply","Engineering","41-45","Italy","Male",74,15131,2.4,5,3,2,1,1,5069,4
"3.5-4.00","Engineering","Do not want to disclose","United States","Male",57,14192,8,8,9,8,7,8,5470,17
"3.5-4.00","Science","over 50","Italy","Male",95,30064,6.2,5,8,8,7,3,5250,3
"Does not apply","Business","41-45","Spain","Male",14,18839,8.4,10,8,7,8,9,5906,9
"Does not apply","Engineering","31-35","Romania","Male",89,8144,5.4,7,7,5,7,1,5470,17
"Does not apply","Engineering","21-25","Mexico","Male",15,1452,5.8,10,7,6,5,1,5906,9
"3.5-4.00","Engineering","46-50","United States","Female",27,15096,3.2,4,3,3,4,2,5836,4
"Does not apply","Engineering","46-50","Spain","Male",131,14869,5.8,6,5,7,5,6,5836,4
"Does not apply","Business","26-30","Germany","Male",54,13839,5.2,5,8,5,3,5,5250,3
"NULL","NULL","NULL","United States","NULL",28,36188,6.4,6,7,7,7,5,5539,2
"3.5-4.00","Science","36-40","Greece","Male",125,27386,6.4,6,9,7,6,4,5226,1
"3.5-4.00","Other","26-30","Belarus","Female",58,8684,6,8,6,8,6,2,5836,4
"3.5-4.00","Business","36-40","Italy","Male",588,3417,4.6,8,3,5,3,4,5170,2
"Does not apply","Engineering","31-35","Spain","Male",133,3339,5,5,5,5,5,5,5836,4
"Does not apply","Engineering","31-35","Spain","Male",133,3339,3.8,4,3,3,3,6,5190,6
"Does not apply","Engineering","31-35","Spain","Male",133,3339,7.6,8,8,7,7,8,5150,4
"3.5-4.00","Engineering","41-45","United States","Male",35,23915,4.8,8,5,5,3,3,5562,2
"Does not apply","Engineering","31-35","Spain","Male",133,3339,5.2,7,6,5,5,3,5226,1
"Does not apply","Engineering","41-45","Italy","Male",74,15131,8.2,9,8,8,7,9,5536,4
"Does not apply","Other","26-30","United States","Male",213,9811,8.4,9,9,8,8,8,5906,9
"3.5-4.00","Engineering","41-45","United States","Male",35,23915,7.4,9,8,7,7,6,5479,17
"Does not apply","Engineering","31-35","Spain","Male",133,3339,8,9,9,8,9,5,5536,4
"3.5-4.00","Engineering","41-45","United States","Male",35,23915,7.8,9,9,8,5,8,5150,4
"3.5-4.00","Engineering","41-45","United States","Male",35,23915,3.4,5,3,4,4,1,5475,5
"3.5-4.00","Engineering","41-45","United States","Male",35,23915,6.2,9,6,6,5,5,5226,1
"Do not want to disclose","Engineering","41-45","United States","Male",37,19506,6.2,8,5,5,8,5,5470,17
"Do not want to disclose","Engineering","41-45","United States","Male",37,19506,5,7,5,7,5,1,5069,4
"Does not apply","Humanities","31-35","United States","Female",118,8491,4.6,8,4,4,3,4,5906,9
"Does not apply","Humanities","31-35","United States","Female",118,8491,4.4,6,4,4,5,3,5250,3
"Does not apply","Business","36-40","Spain","Male",120,22862,3.2,3,6,3,2,2,5693,7
"Does not apply","Humanities","31-35","United States","Female",118,8491,3.2,5,3,3,3,2,5836,4
"Does not apply","Humanities","31-35","United States","Female",118,8491,2.6,5,3,2,2,1,5562,2
"Does not apply","Humanities","31-35","United States","Female",118,8491,3.6,5,2,2,2,7,5424,1
"Does not apply","Humanities","31-35","United States","Female",118,8491,5,7,5,3,4,6,5627,5
"Does not apply","Humanities","31-35","United States","Female",118,8491,2.2,4,3,1,1,2,5363,1
"3.5-4.00","Engineering","over 50","Bolivia","Male",131,27480,4.4,7,4,4,3,4,5069,4
"Does not apply","Engineering","31-35","Canada","Female",53,13145,2.2,3,2,2,2,2,5069,4
"Does not apply","Business","36-40","Spain","Male",120,22862,4.6,6,7,5,3,2,5470,17
"3.5-4.00","Engineering","18-20","Brazil","Male",72,8716,4.8,6,3,7,7,1,5836,4
"Does not apply","Science","41-45","Denmark","Male",204,12328,3.2,4,3,4,3,2,5215,4
"Does not apply","Engineering","31-35","Spain","Male",133,3339,6.8,7,8,8,3,8,5424,1
"Does not apply","Business","26-30","Germany","Female",99,20323,7.6,9,9,9,7,4,5693,7
"Does not apply","Humanities","31-35","United States","Female",118,8491,3.8,7,3,3,4,2,5663,7
"Does not apply","Humanities","31-35","United States","Female",118,8491,3.8,6,4,3,4,2,5601,1
"Does not apply","Humanities","31-35","United States","Female",118,8491,1.2,2,1,1,1,1,7054,0
"3.5-4.00","Engineering","21-25","India","Female",160,19307,5.4,5,5,6,5,6,5069,4
"Does not apply","Other","over 50","India","Male",143,17491,3,4,4,3,2,2,5069,4
"Does not apply","Medicine","36-40","United States","Female",89,14680,4.8,5,8,4,4,3,5215,4
"Does not apply","Medicine","36-40","United States","Female",89,14680,4.2,3,5,5,4,4,5693,7
"Does not apply","Medicine","36-40","United States","Female",89,14680,5.4,6,8,6,1,6,5069,4
"Does not apply","Medicine","36-40","United States","Female",89,14680,5.6,7,8,6,1,6,5144,2
"3.5-4.00","Engineering","21-25","India","Female",160,19307,7.2,8,6,8,6,8,5906,9
"3.5-4.00","Engineering","26-30","United States","Male",33,19544,5.2,7,6,6,5,2,5470,17
"Does not apply","Engineering","31-35","Spain","Male",94,2765,4.2,7,8,3,2,1,5069,4
"Do not want to disclose","Engineering","26-30","India","Male",230,8550,1.4,2,2,1,1,1,5069,4
"3.5-4.00","Engineering","26-30","United States","Male",33,19544,6.4,9,6,7,8,2,5906,9
"Does not apply","Engineering","31-35","Spain","Male",94,2765,2,4,1,1,2,2,5470,17
"Does not apply","Engineering","31-35","Spain","Male",94,2765,6.2,5,8,8,7,3,5215,4
"Do not want to disclose","Engineering","26-30","India","Male",230,8550,4.2,7,5,4,4,1,5470,17
"Do not want to disclose","Engineering","26-30","India","Male",230,8550,4.2,3,6,6,5,1,5213,8
"Does not apply","Business","41-45","United Kingdom","Male",438,17928,8,9,9,9,9,4,7024,3
"Does not apply","Other","31-35","France","Male",81,501,5,7,7,5,4,2,7024,3
"Does not apply","Other","31-35","France","Male",81,501,3.8,4,5,3,4,3,5307,6
"Does not apply","Science","36-40","Russian Federation","Male",29,10665,1.6,2,2,2,1,1,5069,4
"Does not apply","Other","over 50","India","Male",143,17491,6,4,7,6,8,5,5215,4
"Does not apply","Science","36-40","Russian Federation","Male",29,10665,9,9,10,9,9,8,5906,9
"Does not apply","Business","41-45","United Kingdom","Male",438,17928,7.2,7,10,9,8,2,5213,8
"NULL","NULL","NULL","France","NULL",18,35897,5.6,8,6,7,6,1,5693,7
"Does not apply","Business","41-45","Malaysia","Male",502,4812,3,4,1,3,5,2,5470,17
"Does not apply","Engineering","36-40","Italy","Male",82,21546,6,9,3,5,5,8,5470,17
"Does not apply","Other","31-35","France","Male",81,501,5,5,5,5,5,5,5817,1
"3.5-4.00","Business","41-45","United States","Male",87,14242,1,1,1,1,1,1,5470,17
"Does not apply","Engineering","26-30","Russian Federation","Male",305,18289,3.6,3,6,3,4,2,5215,4
"3.5-4.00","Engineering","26-30","United States","Male",33,19544,6.4,9,7,5,6,5,5213,8
"Do not want to disclose","Engineering","26-30","India","Male",230,8550,4.6,6,6,4,3,4,5424,1
"Does not apply","Other","over 50","India","Male",143,17491,5.4,9,4,4,4,6,5693,7
"Does not apply","Business","31-35","Slovakia","Male",141,11269,2.2,7,1,1,1,1,5470,17
"Does not apply","Business","31-35","Slovakia","Male",141,11269,3.2,4,4,5,1,2,5817,1
"Do not want to disclose","Humanities","46-50","Italy","Female",213,16306,7,6,4,9,9,7,5836,4
"Do not want to disclose","Engineering","26-30","Albania","Male",86,8787,4.8,4,4,4,5,7,5250,3
"Do not want to disclose","Engineering","26-30","Albania","Male",86,8787,4.4,3,4,5,6,4,5906,9
"Do not want to disclose","Humanities","46-50","Italy","Female",213,16306,3.8,5,5,6,2,1,5906,9
"Do not want to disclose","Engineering","26-30","Albania","Male",86,8787,3.2,2,3,3,3,5,5470,17
"Does not apply","Business","31-35","Slovakia","Male",141,11269,7,9,4,7,8,7,5539,2
"3-3.49","Engineering","26-30","Australia","Male",46,1675,8.2,9,8,9,8,7,5906,9
"NULL","NULL","NULL","France","NULL",18,35897,5.2,6,8,6,5,1,5215,4
"3.5-4.00","Engineering","41-45","United States","Male",35,23915,4,7,5,3,3,2,5360,3
"3-3.49","Science","26-30","Australia","Male",64,1771,6.6,6,8,7,7,5,5215,4
"Does not apply","Business","41-45","United Kingdom","Male",438,17928,7.2,6,7,7,7,9,5151,2
"3.5-4.00","Engineering","26-30","Italy","Male",32,3108,5.4,9,8,5,3,2,5693,7
"3.5-4.00","Engineering","26-30","Italy","Male",32,3108,4.6,7,9,3,3,1,5215,4
"3.5-4.00","Engineering","41-45","United States","Male",35,23915,4.8,7,5,3,5,4,5151,2
"3-3.49","Science","26-30","Latvia","Male",435,4599,8,10,7,7,7,9,5250,3
"3.5-4.00","Science","36-40","United Arab Emirates","Male",27,31981,5.6,8,7,7,2,4,5693,7
"Does not apply","Other","over 50","India","Male",143,17491,5,7,6,5,3,4,5151,2
"2.5-3","Engineering","over 50","United States","Male",21,31244,7.2,7,8,7,8,6,5906,9
"Does not apply","Business","31-35","Russian Federation","Female",141,30184,6,8,8,7,6,1,5069,4
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,7.6,5,6,9,9,9,6633,2
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,2.4,3,2,2,3,2,5106,2
"Does not apply","Science","26-30","Netherlands","Male",124,2230,1.8,2,2,2,2,1,5360,3
"Does not apply","Science","36-40","Russian Federation","Male",29,10665,7.6,8,8,7,8,7,5693,7
"Does not apply","Business","41-45","Malaysia","Male",502,4812,2.4,3,4,2,2,1,5693,7
"Does not apply","Engineering","41-45","Italy","Male",74,15131,1,1,1,1,1,1,7024,3
"Does not apply","Engineering","21-25","Norway","Male",23,16741,4.6,4,5,8,5,1,5215,4
"Does not apply","Business","31-35","Slovakia","Male",141,11269,8,9,9,9,9,4,5204,6
"3-3.49","Other","21-25","Spain","Female",75,2826,7.8,7,7,5,10,10,5836,4
